date,session_key,meeting_key,wind_direction,air_temperature,humidity,pressure,rainfall,wind_speed,track_temperature
2025-03-16T03:07:30.394000+00:00,9693,1254,211,15.8,91.0,1009.2,1,2.6,18.8
2025-03-16T03:08:30.395000+00:00,9693,1254,273,15.7,92.0,1009.2,1,2.6,18.8
2025-03-16T03:09:30.381000+00:00,9693,1254,271,15.7,92.0,1009.0,1,2.2,18.8
2025-03-16T03:10:30.395000+00:00,9693,1254,261,15.7,90.0,1009.1,1,5.3,18.8
2025-03-16T03:11:30.396000+00:00,9693,1254,246,15.7,90.0,1009.4,1,5.6,18.8
2025-03-16T03:12:30.385000+00:00,9693,1254,264,15.6,90.0,1009.2,1,3.9,18.8
2025-03-16T03:13:30.400000+00:00,9693,1254,283,15.6,90.0,1009.2,1,4.8,18.8
2025-03-16T03:14:30.385000+00:00,9693,1254,267,15.6,90.0,1009.1,1,3.2,18.8
2025-03-16T03:15:30.401000+00:00,9693,1254,252,15.6,90.0,1009.3,1,3.7,18.7
2025-03-16T03:16:30.403000+00:00,9693,1254,274,15.6,89.0,1009.1,0,3.4,18.7
2025-03-16T03:17:30.402000+00:00,9693,1254,265,15.6,89.0,1009.3,0,4.4,18.7
2025-03-16T03:18:30.425000+00:00,9693,1254,269,15.6,89.0,1009.1,0,4.6,18.7
2025-03-16T03:19:30.433000+00:00,9693,1254,264,15.6,88.0,1009.2,0,4.3,18.7
2025-03-16T03:20:30.444000+00:00,9693,1254,275,15.6,88.0,1009.1,0,5.1,18.7
2025-03-16T03:21:30.430000+00:00,9693,1254,254,15.6,88.0,1009.4,0,3.8,18.7
2025-03-16T03:22:30.449000+00:00,9693,1254,256,15.7,88.0,1009.3,0,3.2,18.7
2025-03-16T03:23:30.451000+00:00,9693,1254,261,15.7,88.0,1009.2,0,3.7,18.7
2025-03-16T03:24:30.440000+00:00,9693,1254,267,15.6,88.0,1009.2,0,2.9,18.7
2025-03-16T03:25:30.428000+00:00,9693,1254,265,15.6,87.0,1009.1,0,5.6,18.7
2025-03-16T03:26:30.433000+00:00,9693,1254,258,15.6,87.0,1009.2,0,4.1,18.7
2025-03-16T03:27:30.461000+00:00,9693,1254,268,15.6,87.0,1009.3,0,4.1,18.7
2025-03-16T03:28:30.450000+00:00,9693,1254,245,15.6,87.0,1009.3,0,4.5,18.7
2025-03-16T03:29:30.462000+00:00,9693,1254,267,15.6,87.0,1009.3,0,6.6,18.7
2025-03-16T03:30:30.480000+00:00,9693,1254,280,15.6,86.0,1009.4,0,5.3,18.7
